palika_id,province_en,province_ne,district_en,district_ne,palika_name_en,palika_name_ne,palika_type_en,palika_type_ne,palika_full_name_en,palika_full_name_ne,palika_label,wards,population_2021,area_km2,website,source_url
lumbini-rolpa-thabang-gaunpalika,Lumbini,लुम्बिनी,Rolpa,रोल्पा,Thabang,थवाङ,Gaunpalika,गाउँपालिका,Thabang Gaunpalika,थवाङ गाउँपालिका,थवाङ गाउँपालिका / Thabang Gaunpalika,0,10851,191.07,,https://en.wikipedia.org/wiki/List_of_gaunpalikas_of_Nepal
lumbini-rolpa-triveni-gaunpalika,Lumbini,लुम्बिनी,Rolpa,रोल्पा,Triveni,त्रिवेणी,Gaunpalika,गाउँपालिका,Triveni Gaunpalika,त्रिवेणी गाउँपालिका,त्रिवेणी गाउँपालिका / Triveni Gaunpalika,0,23412,205.39,,https://en.wikipedia.org/wiki/List_of_gaunpalikas_of_Nepal
lumbini-rupandehi-butwal-sub-metropolitan-city,Lumbini,लुम्बिनी,Rupandehi,रुपन्देही,Butwal,बुटवल,Sub-Metropolitan City,उपमहानगरपालिका,Butwal Sub-Metropolitan City,बुटवल उपमहानगरपालिका,बुटवल उपमहानगरपालिका / Butwal Sub-Metropolitan City,19,194335,101.61,,https://en.wikipedia.org/wiki/List_of_cities_in_Nepal
lumbini-rupandehi-devdaha-municipality,Lumbini,लुम्बिनी,Rupandehi,रुपन्देही,Devdaha,देवदह,Municipality,नगरपालिका,Devdaha Municipality,देवदह नगरपालिका,देवदह नगरपालिका / Devdaha Municipality,12,72457,136.95,,https://en.wikipedia.org/wiki/List_of_cities_in_Nepal
lumbini-rupandehi-gaidhawa-gaunpalika,Lumbini,लुम्बिनी,Rupandehi,रुपन्देही,Gaidhawa,गैडहवा,Gaunpalika,गाउँपालिका,Gaidhawa Gaunpalika,गैडहवा गाउँपालिका,गैडहवा गाउँपालिका / Gaidhawa Gaunpalika,0,56149,96.79,,https://en.wikipedia.org/wiki/List_of_gaunpalikas_of_Nepal
lumbini-rupandehi-kanchan-gaunpalika,Lumbini,लुम्बिनी,Rupandehi,रुपन्देही,Kanchan,कञ्चन,Gaunpalika,गाउँपालिका,Kanchan Gaunpalika,कञ्चन गाउँपालिका,कञ्चन गाउँपालिका / Kanchan Gaunpalika,0,42528,58.51,,https://en.wikipedia.org/wiki/List_of_gaunpalikas_of_Nepal
lumbini-rupandehi-kotahimai-gaunpalika,Lumbini,लुम्बिनी,Rupandehi,रुपन्देही,Kotahimai,कोटहीमाई,Gaunpalika,गाउँपालिका,Kotahimai Gaunpalika,कोटहीमाई गाउँपालिका,कोटहीमाई गाउँपालिका / Kotahimai Gaunpalika,0,45975,58.26,,https://en.wikipedia.org/wiki/List_of_gaunpalikas_of_Nepal
lumbini-rupandehi-lumbini-sanskritik-municipality,Lumbini,लुम्बिनी,Rupandehi,रुपन्देही,Lumbini Sanskritik,लुम्बिनी सांस्कृतिक,Municipality,नगरपालिका,Lumbini Sanskritik Municipality,लुम्बिनी सांस्कृतिक नगरपालिका,लुम्बिनी सांस्कृतिक नगरपालिका / Lumbini Sanskritik Municipality,13,87383,112.21,,https://en.wikipedia.org/wiki/List_of_cities_in_Nepal
lumbini-rupandehi-marchawarimai-gaunpalika,Lumbini,लुम्बिनी,Rupandehi,रुपन्देही,Marchawarimai,मर्चवारीमाई,Gaunpalika,गाउँपालिका,Marchawarimai Gaunpalika,मर्चवारीमाई गाउँपालिका,मर्चवारीमाई गाउँपालिका / Marchawarimai Gaunpalika,0,40880,48.55,,https://en.wikipedia.org/wiki/List_of_gaunpalikas_of_Nepal
lumbini-rupandehi-mayadevi-gaunpalika,Lumbini,लुम्बिनी,Rupandehi,रुपन्देही,Mayadevi,मायादेवी,Gaunpalika,गाउँपालिका,Mayadevi Gaunpalika,मायादेवी गाउँपालिका,मायादेवी गाउँपालिका / Mayadevi Gaunpalika,0,56170,72.44,,https://en.wikipedia.org/wiki/List_of_gaunpalikas_of_Nepal
lumbini-rupandehi-omsatiya-gaunpalika,Lumbini,लुम्बिनी,Rupandehi,रुपन्देही,Omsatiya,ओमसतीया,Gaunpalika,गाउँपालिका,Omsatiya Gaunpalika,ओमसतीया गाउँपालिका,ओमसतीया गाउँपालिका / Omsatiya Gaunpalika,0,41141,48.54,,https://en.wikipedia.org/wiki/List_of_gaunpalikas_of_Nepal
lumbini-rupandehi-rohini-gaunpalika,Lumbini,लुम्बिनी,Rupandehi,रुपन्देही,Rohini,रोहिणी,Gaunpalika,गाउँपालिका,Rohini Gaunpalika,रोहिणी गाउँपालिका,रोहिणी गाउँपालिका / Rohini Gaunpalika,0,43327,64.32,,https://en.wikipedia.org/wiki/List_of_gaunpalikas_of_Nepal
